Host 1	Host 2	Corrected_Overlap	Mass	Area_Overlap	Any_Area	Percent	divergence_HT	spec_HT	Ecol_dist
Addax_nasomaculatus	Aepyceros_melampus	0.493975904	43485.67	0	0	0	43.6	6	3.629972554
Addax_nasomaculatus	Alcelaphus_buselaphus	0	64860.5	0	0	0	36.2	7	3.803448947
Addax_nasomaculatus	Alcelaphus_lichtensteinii	0	72618.3	0	0	0	36.2	6	2.752572836
Addax_nasomaculatus	Alces_alces	0	365823.4	0	0	0	53.4	13	4.717703752
Addax_nasomaculatus	Alces_americanus	0	445383.08	0	0	0	53.4	13	4.086702162
Addax_nasomaculatus	Ammotragus_lervia	0	1875.14	2980	1	0.086434435	40.4	8	3.429987813
Addax_nasomaculatus	Antidorcas_marsupialis	0.489130435	62506.12	0	0	0	43.6	8	3.537006824
Addax_nasomaculatus	Antilocapra_americana	0	48627.35	0	0	0	53.6	10	3.641991062
Addax_nasomaculatus	Antilope_cervicapra	0	59776.26	0	0	0	43.6	9	1.80072574
Addax_nasomaculatus	Axis_axis	0	26577.37	0	0	0	53.4	13	4.415519094
Addax_nasomaculatus	Axis_porcinus	0	58629.07	0	0	0	53.405	17	2.327727091
Addax_nasomaculatus	Bison_bison	0	528499.71	0	0	0	53	13	3.99399583
Addax_nasomaculatus	Bison_bonasus	0	579799.34	0	0	0	53	13	3.272485884
Addax_nasomaculatus	Blastocerus_dichotomus	0	16441.17	0	0	0	53.399	14	3.271247842
Addax_nasomaculatus	Bos_frontalis	0	704065.69	0	0	0	53	11	2.800506136
Addax_nasomaculatus	Bos_grunniens	0	403922.64	0	0	0	53	12	3.486458674
Addax_nasomaculatus	Boselaphus_tragocamelus	0	86175.68	0	0	0	53	10	1.894534259
Addax_nasomaculatus	Camelus_dromedarius	0	396637.11	0	0	0	131.6	15	2.458659516
Addax_nasomaculatus	Capra_hircus	0	48690.89	0	0	0	40.4	11	3.489046719
Addax_nasomaculatus	Capra_ibex	0	26530.53	0	0	0	40.4	11	3.04738194
Addax_nasomaculatus	Capra_nubiana	0	48313.64	0	0	0	40.4	11	3.306440271
Addax_nasomaculatus	Capra_pyrenaica	0	35178.59	0	0	0	40.4	11	3.481318812
Addax_nasomaculatus	Capra_sibirica	0	33922.64	0	0	0	40.4	11	3.583810398
Addax_nasomaculatus	Capreolus_capreolus	0	73575.35	0	0	0	53.398	14	2.647811458
Addax_nasomaculatus	Capricornis_crispus	0	53046.72	0	0	0	40.4	9	3.093225834
Addax_nasomaculatus	Capricornis_sumatraensis	0	14864.86	0	0	0	40.4	10	3.257746635
Addax_nasomaculatus	Capricornis_swinhoei	0	72577.36	0	0	0	40.4	9	3.50982701
Addax_nasomaculatus	Cephalophus_dorsalis	0	76077.36	0	0	0	43.6	11	2.624153143
Addax_nasomaculatus	Cephalophus_natalensis	0	83352.85	0	0	0	43.6	10	2.338701376
Addax_nasomaculatus	Cephalophus_nigrifrons	0	81401.03	0	0	0	43.6	11	3.159807592
Addax_nasomaculatus	Cephalophus_silvicultor	0	34070.76	0	0	0	43.6	12	2.501260916
Addax_nasomaculatus	Ceratotherium_simum	0	2189862.07	3086	1	0.089508948	170.6	18	4.902780095
Addax_nasomaculatus	Cervus_elaphus	0.496835443	144789.77	0	0	0	53.396	17	2.684791929
Addax_nasomaculatus	Cervus_nippon	0	43077.37	0	0	0	53.396	17	3.184551179
Addax_nasomaculatus	Connochaetes_gnou	0	60470.17	0	0	0	36.2	6	3.207230376
Addax_nasomaculatus	Connochaetes_taurinus	0	102542.32	0	0	0	36.2	6	4.492269196
Addax_nasomaculatus	Dama_dama	0	38852.75	0	0	0	53.4	13	3.655596495
Addax_nasomaculatus	Damaliscus_lunatus	0	39922.97	0	0	0	36.2	8	4.372695102
Addax_nasomaculatus	Damaliscus_pygargus	0.480769231	18292.81	0	0	0	36.2	7	4.162747313
Addax_nasomaculatus	Diceros_bicornis	0	899863.18	0	0	0	170.6	18	4.026332682
Addax_nasomaculatus	Equus_asinus	0	68921.13	0	0	0	170.6	17	3.14198364
Addax_nasomaculatus	Equus_burchellii	0	183083.29	0	0	0	170.6	18	2.861457588
Addax_nasomaculatus	Equus_caballus	0	307521.17	0	0	0	170.6	16	4.214583823
Addax_nasomaculatus	Equus_grevyi	0	311922.99	0	0	0	170.6	18	4.158615076
Addax_nasomaculatus	Equus_zebra	0	186384.77	0	0	0	170.6	18	3.158527035
Addax_nasomaculatus	Eudorcas_thomsonii	0	73169.93	0	0	0	43.6	11	3.181863001
