ID	ParasiteCheckedBinomial	HostCheckedBinomial
52	Acinetobacter_lwoffii	Ovis_canadensis
54	Actinobacillus_actinomycetemcomitans	Ovis_canadensis
55	Actinobacillus_equuli	Equus_zebra
56	Actinobacillus_equuli	Equus_zebra
57	Actinobacillus_equuli	Equus_zebra
58	Actinobacillus_equuli	Equus_zebra
79	Aeromonas_hydrophila	Ovis_canadensis
85	Africanostrongylus_buceros	Syncerus_caffer
86	Agriostomum_cursoni	Damaliscus_lunatus
87	Agriostomum_cursoni	Damaliscus_lunatus
88	Agriostomum_cursoni	Damaliscus_lunatus
89	Agriostomum_cursoni	Alcelaphus_buselaphus
90	Agriostomum_equidentatum	Antidorcas_marsupialis
91	Agriostomum_equidentatum	Oryx_gazella
92	Agriostomum_equidentatum	Antidorcas_marsupialis
93	Agriostomum_equidentatum	Antidorcas_marsupialis
94	Agriostomum_equidentatum	Antidorcas_marsupialis
95	Agriostomum_equidentatum	Oryx_gazella
96	Agriostomum_equidentatum	Antidorcas_marsupialis
97	Agriostomum_gorgonis	Madoqua_kirkii
98	Agriostomum_gorgonis	Syncerus_caffer
99	Agriostomum_gorgonis	Alcelaphus_buselaphus
100	Agriostomum_gorgonis	Tragelaphus_strepsiceros
101	Agriostomum_gorgonis	Connochaetes_taurinus
102	Agriostomum_gorgonis	Tragelaphus_strepsiceros
103	Agriostomum_gorgonis	Nanger_granti
104	Agriostomum_gorgonis	Aepyceros_melampus
105	Agriostomum_gorgonis	Oreotragus_oreotragus
106	Agriostomum_gorgonis	Tragelaphus_strepsiceros
107	Agriostomum_gorgonis	Tragelaphus_strepsiceros
108	Agriostomum_gorgonis	Tragelaphus_strepsiceros
109	Agriostomum_gorgonis	Taurotragus_oryx
240	Alphacoronavirus_Alphacoronavirus_1	Sus_scrofa
244	Alphacoronavirus_Alphacoronavirus_1	Sus_scrofa
309	Alphacoronavirus_Alphacoronavirus_1	Sus_scrofa
377	Alphacoronavirus_Alphacoronavirus_1	Sus_scrofa
516	Alphavirus_Sindbis_virus	Capreolus_capreolus
517	Alphavirus_Sindbis_virus	Dama_dama
518	Alphavirus_Sindbis_virus	Sus_scrofa
519	Alphavirus_Sindbis_virus	Ovis_aries
521	Alphavirus_Sindbis_virus	Cervus_elaphus
526	Alphavirus_Venezuelan_equine_encephalitis_virus	Sus_scrofa
527	Alphavirus_Venezuelan_equine_encephalitis_virus	Sus_scrofa
528	Alphavirus_Venezuelan_equine_encephalitis_virus	Odocoileus_virginianus
529	Alphavirus_Venezuelan_equine_encephalitis_virus	Odocoileus_virginianus
535	Alphavirus_Western_equine_encephalitis_virus	Sus_scrofa
538	Alphavirus_Western_equine_encephalitis_virus	Odocoileus_virginianus
542	Amblyomma_americanum	Sus_scrofa
543	Amblyomma_americanum	Odocoileus_virginianus
545	Amblyomma_americanum	Odocoileus_virginianus
546	Amblyomma_americanum	Odocoileus_virginianus
547	Amblyomma_americanum	Odocoileus_virginianus
548	Amblyomma_americanum	Antilope_cervicapra
549	Amblyomma_americanum	Odocoileus_virginianus
550	Amblyomma_americanum	Odocoileus_virginianus
551	Amblyomma_americanum	Odocoileus_virginianus
552	Amblyomma_americanum	Odocoileus_virginianus
553	Amblyomma_americanum	Odocoileus_virginianus
554	Amblyomma_americanum	Odocoileus_virginianus
556	Amblyomma_americanum	Sus_scrofa
557	Amblyomma_americanum	Antilope_cervicapra
558	Amblyomma_americanum	Odocoileus_virginianus
559	Amblyomma_americanum	Odocoileus_virginianus
560	Amblyomma_americanum	Odocoileus_virginianus
561	Amblyomma_americanum	Odocoileus_virginianus
562	Amblyomma_americanum	Odocoileus_virginianus
563	Amblyomma_americanum	Odocoileus_virginianus
564	Amblyomma_americanum	Odocoileus_virginianus
565	Amblyomma_americanum	Odocoileus_virginianus
566	Amblyomma_americanum	Odocoileus_virginianus
568	Amblyomma_americanum	Odocoileus_virginianus
569	Amblyomma_americanum	Odocoileus_virginianus
571	Amblyomma_americanum	Dama_dama
572	Amblyomma_americanum	Odocoileus_virginianus
574	Amblyomma_americanum	Odocoileus_virginianus
575	Amblyomma_americanum	Odocoileus_virginianus
576	Amblyomma_americanum	Odocoileus_virginianus
577	Amblyomma_americanum	Odocoileus_virginianus
578	Amblyomma_americanum	Odocoileus_virginianus
579	Amblyomma_americanum	Odocoileus_virginianus
580	Amblyomma_americanum	Odocoileus_virginianus
581	Amblyomma_americanum	Odocoileus_virginianus
583	Amblyomma_americanum	Odocoileus_virginianus
584	Amblyomma_americanum	Odocoileus_virginianus
585	Amblyomma_americanum	Odocoileus_virginianus
586	Amblyomma_americanum	Odocoileus_virginianus
587	Amblyomma_americanum	Dama_dama
588	Amblyomma_americanum	Odocoileus_virginianus
590	Amblyomma_americanum	Odocoileus_virginianus
591	Amblyomma_americanum	Odocoileus_virginianus
592	Amblyomma_americanum	Odocoileus_virginianus
593	Amblyomma_americanum	Odocoileus_virginianus
594	Amblyomma_americanum	Odocoileus_virginianus
595	Amblyomma_americanum	Odocoileus_virginianus
597	Amblyomma_americanum	Odocoileus_virginianus
598	Amblyomma_americanum	Odocoileus_virginianus
599	Amblyomma_americanum	Odocoileus_virginianus
600	Amblyomma_americanum	Odocoileus_virginianus
601	Amblyomma_americanum	Odocoileus_virginianus
602	Amblyomma_americanum	Cervus_nippon
603	Amblyomma_americanum	Odocoileus_virginianus
604	Amblyomma_americanum	Odocoileus_virginianus
605	Amblyomma_americanum	Odocoileus_virginianus
606	Amblyomma_americanum	Odocoileus_virginianus
607	Amblyomma_americanum	Odocoileus_virginianus
608	Amblyomma_americanum	Odocoileus_virginianus
609	Amblyomma_americanum	Odocoileus_virginianus
612	Amblyomma_americanum	Odocoileus_virginianus
613	Amblyomma_americanum	Odocoileus_virginianus
614	Amblyomma_americanum	Odocoileus_virginianus
615	Amblyomma_americanum	Odocoileus_virginianus
617	Amblyomma_americanum	Odocoileus_virginianus
618	Amblyomma_americanum	Odocoileus_virginianus
619	Amblyomma_americanum	Odocoileus_virginianus
622	Amblyomma_americanum	Odocoileus_virginianus
623	Amblyomma_americanum	Odocoileus_virginianus
624	Amblyomma_americanum	Odocoileus_virginianus
625	Amblyomma_americanum	Odocoileus_virginianus
626	Amblyomma_americanum	Sus_scrofa
627	Amblyomma_americanum	Odocoileus_virginianus
629	Amblyomma_americanum	Odocoileus_virginianus
630	Amblyomma_americanum	Odocoileus_virginianus
631	Amblyomma_americanum	Odocoileus_virginianus
632	Amblyomma_americanum	Odocoileus_virginianus
633	Amblyomma_americanum	Odocoileus_virginianus
634	Amblyomma_americanum	Odocoileus_virginianus
635	Amblyomma_americanum	Antilope_cervicapra
636	Amblyomma_americanum	Odocoileus_virginianus
637	Amblyomma_americanum	Odocoileus_virginianus
638	Amblyomma_americanum	Axis_axis
639	Amblyomma_americanum	Odocoileus_virginianus
640	Amblyomma_americanum	Odocoileus_virginianus
641	Amblyomma_americanum	Odocoileus_virginianus
642	Amblyomma_americanum	Odocoileus_virginianus
643	Amblyomma_americanum	Odocoileus_virginianus
644	Amblyomma_americanum	Odocoileus_virginianus
645	Amblyomma_americanum	Odocoileus_virginianus
647	Amblyomma_americanum	Odocoileus_virginianus
648	Amblyomma_americanum	Odocoileus_virginianus
649	Amblyomma_americanum	Odocoileus_virginianus
651	Amblyomma_americanum	Odocoileus_virginianus
652	Amblyomma_americanum	Odocoileus_virginianus
653	Amblyomma_americanum	Dama_dama
654	Amblyomma_americanum	Odocoileus_virginianus
655	Amblyomma_americanum	Dama_dama
656	Amblyomma_americanum	Odocoileus_virginianus
657	Amblyomma_americanum	Odocoileus_virginianus
658	Amblyomma_americanum	Odocoileus_virginianus
659	Amblyomma_americanum	Odocoileus_virginianus
660	Amblyomma_americanum	Odocoileus_virginianus
661	Amblyomma_americanum	Odocoileus_virginianus
662	Amblyomma_americanum	Odocoileus_virginianus
663	Amblyomma_americanum	Odocoileus_virginianus
664	Amblyomma_americanum	Odocoileus_virginianus
665	Amblyomma_americanum	Odocoileus_virginianus
666	Amblyomma_americanum	Odocoileus_virginianus
669	Amblyomma_americanum	Odocoileus_virginianus
670	Amblyomma_americanum	Odocoileus_virginianus
671	Amblyomma_americanum	Odocoileus_virginianus
672	Amblyomma_americanum	Odocoileus_virginianus
674	Amblyomma_americanum	Odocoileus_virginianus
675	Amblyomma_americanum	Odocoileus_virginianus
676	Amblyomma_americanum	Odocoileus_virginianus
677	Amblyomma_americanum	Odocoileus_virginianus
678	Amblyomma_americanum	Odocoileus_virginianus
679	Amblyomma_americanum	Odocoileus_virginianus
680	Amblyomma_americanum	Odocoileus_virginianus
681	Amblyomma_americanum	Odocoileus_virginianus
682	Amblyomma_americanum	Odocoileus_virginianus
683	Amblyomma_americanum	Odocoileus_virginianus
684	Amblyomma_americanum	Odocoileus_virginianus
685	Amblyomma_americanum	Odocoileus_virginianus
686	Amblyomma_americanum	Odocoileus_virginianus
687	Amblyomma_americanum	Odocoileus_virginianus
689	Amblyomma_americanum	Odocoileus_virginianus
691	Amblyomma_americanum	Odocoileus_virginianus
692	Amblyomma_americanum	Odocoileus_virginianus
693	Amblyomma_americanum	Odocoileus_virginianus
695	Amblyomma_americanum	Odocoileus_virginianus
696	Amblyomma_americanum	Odocoileus_virginianus
697	Amblyomma_americanum	Odocoileus_virginianus
698	Amblyomma_americanum	Odocoileus_virginianus
699	Amblyomma_americanum	Odocoileus_virginianus
700	Amblyomma_americanum	Odocoileus_virginianus
701	Amblyomma_americanum	Odocoileus_virginianus
702	Amblyomma_americanum	Odocoileus_virginianus
703	Amblyomma_americanum	Rusa_unicolor
704	Amblyomma_americanum	Odocoileus_virginianus
705	Amblyomma_americanum	Odocoileus_virginianus
706	Amblyomma_americanum	Odocoileus_virginianus
707	Amblyomma_americanum	Odocoileus_virginianus
708	Amblyomma_americanum	Odocoileus_virginianus
709	Amblyomma_americanum	Odocoileus_virginianus
710	Amblyomma_americanum	Odocoileus_virginianus
711	Amblyomma_americanum	Odocoileus_virginianus
723	Amblyomma_cajennense	Sus_scrofa
724	Amblyomma_cajennense	Tayassu_pecari
727	Amblyomma_cajennense	Mazama_gouazoubira
729	Amblyomma_cajennense	Sus_scrofa
732	Amblyomma_cajennense	Blastocerus_dichotomus
733	Amblyomma_cajennense	Blastocerus_dichotomus
736	Amblyomma_cajennense	Blastocerus_dichotomus
738	Amblyomma_cajennense	Blastocerus_dichotomus
739	Amblyomma_cajennense	Sus_scrofa
741	Amblyomma_cajennense	Blastocerus_dichotomus
744	Amblyomma_cohaerens	Syncerus_caffer
748	Amblyomma_gemma	Syncerus_caffer
750	Amblyomma_hebraeum	Raphicerus_campestris
751	Amblyomma_hebraeum	Aepyceros_melampus
752	Amblyomma_hebraeum	Tragelaphus_strepsiceros
753	Amblyomma_hebraeum	Taurotragus_oryx
754	Amblyomma_hebraeum	Tragelaphus_angasii
755	Amblyomma_hebraeum	Tragelaphus_angasii
